Kelas,Hari,Masa,Subjek
1B,ISNIN,7:40-8:10,PP-SGS
1B,ISNIN,8:10-8:40,BI-AZU
1B,ISNIN,8:40-9:10,BI-AZU
1B,ISNIN,9:10-9:40,SN-SUZ
1B,ISNIN,9:40-10:10,SN-SUZ
1B,ISNIN,10:30-11:00,SEJ-DIN
1B,ISNIN,11:00-11:30,SEJ-DIN
1B,ISNIN,11:30-12:00,RBT-VIY
1B,ISNIN,12:00-12:30,BM-JWA
1B,ISNIN,12:30-1:00,BM-JWA
1B,ISNIN,1:00-1:30,PAM-ZIL
1B,SELASA,7:40-8:10,PIB-ZIL
1B,SELASA,8:10-8:40,PIB-ZIL
1B,SELASA,8:40-9:10,PJ-WAN
1B,SELASA,9:10-9:40,PJ-WAN
1B,SELASA,9:40-10:10,BM-JWA
1B,SELASA,10:30-11:00,BM-JWA
1B,SELASA,11:00-11:30,BM-JWA
1B,SELASA,11:30-12:00,PIB-ZIL
1B,SELASA,12:00-12:30,PIB-ZIL
1B,SELASA,12:30-1:00,MAT-KIL
1B,SELASA,1:00-1:30,MAT-KIL
1B,RABU,7:40-8:10,PSB-FID
1B,RABU,8:10-8:40,PSB-FID
1B,RABU,8:40-9:10,SN-SUZ
1B,RABU,9:10-9:40,SN-SUZ
1B,RABU,9:40-10:10,GEO-COO
1B,RABU,10:30-11:00,GEO-COO
1B,RABU,11:00-11:30,GEO-COO
1B,RABU,11:30-12:00,MAT-KIL
1B,RABU,12:00-12:30,BI-AZU
1B,RABU,12:30-1:00,BI-AZU
1B,KHAMIS,7:40-8:10,PJ-WAN
1B,KHAMIS,8:10-8:40,PJ-WAN
1B,KHAMIS,8:40-9:10,RBT-VIY
1B,KHAMIS,9:10-9:40,BM-JWA
1B,KHAMIS,9:40-10:10,BM-JWA
1B,KHAMIS,10:30-11:00,SEJ-DIN
1B,KHAMIS,11:00-11:30,SEJ-DIN
1B,KHAMIS,11:30-12:00,MAT-KIL
1B,KHAMIS,12:00-12:30,MAT-KIL
1B,KHAMIS,12:30-1:00,MAT-KIL
1B,JUMAAT,7:45-8:15,BI-AZU
1B,JUMAAT,8:15-8:45,BI-AZU
1B,JUMAAT,8:45-9:15,RBT-VIY
1B,JUMAAT,9:15-9:45,RBT-VIY
1B,JUMAAT,10:05-10:35,SN-SUZ
1B,JUMAAT,10:35-11:05,SN-SUZ
1B,JUMAAT,11:05-11:35,PIB-ZIL
1B,JUMAAT,11:35-12:05,PIB-ZIL
1D,ISNIN,7:40-8:10,PP-SGS
1D,ISNIN,8:10-8:40,PSV-ITI
1D,ISNIN,8:40-9:10,PSV-ITI
1D,ISNIN,9:10-9:40,BI-AZU
1D,ISNIN,9:40-10:10,BI-AZU
1D,ISNIN,10:30-11:00,SN-RUN
1D,ISNIN,11:00-11:30,SN-RUN
1D,ISNIN,11:30-12:00,PIB-ZIL
1D,ISNIN,12:00-12:30,PIB-ZIL
1D,ISNIN,12:30-1:00,MAT-AIL
1D,ISNIN,1:00-1:30,PAM-ZIL
1D,SELASA,7:40-8:10,MAT-AIL
1D,SELASA,8:10-8:40,MAT-AIL
1D,SELASA,8:40-9:10,MAT-AIL
1D,SELASA,9:10-9:40,SN-RUN
1D,SELASA,9:40-10:10,SN-RUN
1D,SELASA,10:30-11:00,BI-AZU
1D,SELASA,11:00-11:30,BI-AZU
1D,SELASA,11:30-12:00,PJ-PAH
1D,SELASA,12:00-12:30,PJ-PAH
1D,SELASA,12:30-1:00,BM-JWA
1D,SELASA,1:00-1:30,BM-JWA
1D,RABU,7:40-8:10,BM-JWA
1D,RABU,8:10-8:40,BM-JWA
1D,RABU,8:40-9:10,BM-JWA
1D,RABU,9:10-9:40,MAT-AIL
1D,RABU,9:40-10:10,MAT-AIL
1D,RABU,10:30-11:00,SEJ-DIN
1D,RABU,11:00-11:30,PIB-ZIL
1D,RABU,11:30-12:00,PIB-ZIL
1D,RABU,12:00-12:30,RBT-VIY
1D,RABU,12:30-1:00,RBT-VIY
1D,KHAMIS,7:40-8:10,RBT-VIY
1D,KHAMIS,8:10-8:40,RBT-VIY
1D,KHAMIS,8:40-9:10,PJ-PAH
1D,KHAMIS,9:10-9:40,PJ-PAH
1D,KHAMIS,9:40-10:10,GEO-COO
1D,KHAMIS,10:30-11:00,BI-AZU
1D,KHAMIS,11:00-11:30,BI-AZU
1D,KHAMIS,11:30-12:00,SEJ-DIN
1D,KHAMIS,12:00-12:30,PIB-ZIL
1D,KHAMIS,12:30-1:00,PIB-ZIL
1D,JUMAAT,7:45-8:15,SN-RUN
1D,JUMAAT,8:15-8:45,SN-RUN
1D,JUMAAT,8:45-9:15,GEO-COO
1D,JUMAAT,9:15-9:45,GEO-COO
1D,JUMAAT,10:05-10:35,BM-JWA
1D,JUMAAT,10:35-11:05,BM-JWA
1D,JUMAAT,11:05-11:35,SEJ-DIN
1D,JUMAAT,11:35-12:05,SEJ-DIN
1E,ISNIN,7:40-8:10,PP-SGS
1E,ISNIN,8:10-8:40,RBT-VIY
1E,ISNIN,8:40-9:10,RBT-VIY
1E,ISNIN,9:10-9:40,PIB-ZIL
1E,ISNIN,9:40-10:10,PIB-ZIL
1E,ISNIN,10:30-11:00,BM-ZIE
1E,ISNIN,11:00-11:30,BM-ZIE
1E,ISNIN,11:30-12:00,SEJ-GAT
1E,ISNIN,12:00-12:30,SEJ-GAT
1E,ISNIN,12:30-1:00,SEJ-GAT
1E,ISNIN,1:00-1:30,PAM-ZIL
1E,SELASA,7:40-8:10,PJ-EZA
1E,SELASA,8:10-8:40,PJ-EZA
1E,SELASA,8:40-9:10,GEO-VIY
1E,SELASA,9:10-9:40,GEO-VIY
1E,SELASA,9:40-10:10,GEO-VIY
1E,SELASA,10:30-11:00,SN-SUZ
1E,SELASA,11:00-11:30,SN-SUZ
1E,SELASA,11:30-12:00,RBT-VIY
1E,SELASA,12:00-12:30,RBT-VIY
1E,SELASA,12:30-1:00,BI-AZU
1E,SELASA,1:00-1:30,BI-AZU
1E,RABU,7:40-8:10,PIB-ZIL
1E,RABU,8:10-8:40,PIB-ZIL
1E,RABU,8:40-9:10,BM-ZIE
1E,RABU,9:10-9:40,BM-ZIE
1E,RABU,9:40-10:10,BM-ZIE
1E,RABU,10:30-11:00,PSB-ITI
1E,RABU,11:00-11:30,PSB-ITI
1E,RABU,11:30-12:00,MAT-AIL
1E,RABU,12:00-12:30,MAT-AIL
1E,RABU,12:30-1:00,BI-AZU
1E,KHAMIS,7:40-8:10,PJ-WAN
1E,KHAMIS,8:10-8:40,PJ-WAN
1E,KHAMIS,8:40-9:10,SN-SUZ
1E,KHAMIS,9:10-9:40,SN-SUZ
1E,KHAMIS,9:40-10:10,SEJ-GAT
1E,KHAMIS,10:30-11:00,PIB-ZIL
1E,KHAMIS,11:00-11:30,PIB-ZIL
1E,KHAMIS,11:30-12:00,BI-AZU
1E,KHAMIS,12:00-12:30,BI-AZU
1E,KHAMIS,12:30-1:00,MAT-KIL
1E,JUMAAT,7:45-8:15,MAT-AIL
1E,JUMAAT,8:15-8:45,MAT-AIL
1E,JUMAAT,8:45-9:15,SN-SUZ
1E,JUMAAT,9:15-9:45,SN-SUZ
1E,JUMAAT,10:05-10:35,BI-AZU
1E,JUMAAT,10:35-11:05,BI-AZU
1E,JUMAAT,11:05-11:35,PJ-EZA
1E,JUMAAT,11:35-12:05,PJ-EZA
1S,ISNIN,7:40-8:10,PP-SGS
1S,ISNIN,8:10-8:40,BM-ZIE
1S,ISNIN,8:40-9:10,BM-ZIE
1S,ISNIN,9:10-9:40,MZB-HES
1S,ISNIN,9:40-10:10,MZB-HES
1S,ISNIN,10:30-11:00,GEO-VIY
1S,ISNIN,11:00-11:30,RBT-RAN
1S,ISNIN,11:30-12:00,RBT-RAN
1S,ISNIN,12:00-12:30,BI-AZU
1S,ISNIN,12:30-1:00,BI-AZU
1S,ISNIN,1:00-1:30,PAM-GAT
1S,SELASA,7:40-8:10,BI-AZU
1S,SELASA,8:10-8:40,BI-AZU
1S,SELASA,8:40-9:10,SN-ZAH
1S,SELASA,9:10-9:40,SN-ZAH
1S,SELASA,9:40-10:10,PJ-EZA
1S,SELASA,10:30-11:00,PJ-EZA
1S,SELASA,11:00-11:30,MAT-AIL
1S,SELASA,11:30-12:00,MAT-AIL
1S,SELASA,12:00-12:30,BM-ZIE
1S,SELASA,12:30-1:00,BM-ZIE
1S,SELASA,1:00-1:30,BM-ZIE
1S,RABU,7:40-8:10,SN-ZAH
1S,RABU,8:10-8:40,SN-ZAH
1S,RABU,8:40-9:10,BI-AZU
1S,RABU,9:10-9:40,BI-AZU
1S,RABU,9:40-10:10,GEO-VIY
1S,RABU,10:30-11:00,GEO-VIY
1S,RABU,11:00-11:30,PIB-GAT
1S,RABU,11:30-12:00,PIB-GAT
1S,RABU,12:00-12:30,SEJ-FID
1S,RABU,12:30-1:00,SEJ-FID
1S,KHAMIS,7:40-8:10,SEJ-FID
1S,KHAMIS,8:10-8:40,SEJ-FID
1S,KHAMIS,8:40-9:10,PIB-GAT
1S,KHAMIS,9:10-9:40,PIB-GAT
1S,KHAMIS,9:40-10:10,MAT-AIL
1S,KHAMIS,10:30-11:00,MAT-AIL
1S,KHAMIS,11:00-11:30,RBT-RAN
1S,KHAMIS,11:30-12:00,RBT-RAN
1S,KHAMIS,12:00-12:30,SN-ZAH
1S,KHAMIS,12:30-1:00,SN-ZAH
1S,JUMAAT,7:45-8:15,BM-ZIE
1S,JUMAAT,8:15-8:45,BM-ZIE
1S,JUMAAT,8:45-9:15,PJ-EZA
1S,JUMAAT,9:15-9:45,PJ-EZA
1S,JUMAAT,10:05-10:35,MAT-AIL
1S,JUMAAT,10:35-11:05,MAT-AIL
1S,JUMAAT,11:05-11:35,PIB-GAT
1S,JUMAAT,11:35-12:05,PIB-GAT
1W,ISNIN,7:40-8:10,PP-SGS
1W,ISNIN,8:10-8:40,SEJ-FID
1W,ISNIN,8:40-9:10,SEJ-FID
1W,ISNIN,9:10-9:40,BA-FAL
1W,ISNIN,9:40-10:10,BA-FAL
1W,ISNIN,10:30-11:00,GEO-COO
1W,ISNIN,11:00-11:30,GEO-COO
1W,ISNIN,11:30-12:00,GEO-COO
1W,ISNIN,12:00-12:30,SN-RUN
1W,ISNIN,12:30-1:00,SN-RUN
1W,ISNIN,1:00-1:30,PAM-ZIL
1W,ISNIN,1:30-2:00,RBT-VIY
1W,ISNIN,2:00-2:30,RBT-VIY
1W,SELASA,7:40-8:10,BM-ZIE
1W,SELASA,8:10-8:40,BM-ZIE
1W,SELASA,8:40-9:10,BM-ZIE
1W,SELASA,9:10-9:40,BI-AZU
1W,SELASA,9:40-10:10,BI-AZU
1W,SELASA,10:30-11:00,PIB-ZIL
1W,SELASA,11:00-11:30,PIB-ZIL
1W,SELASA,11:30-12:00,SN-RUN
1W,SELASA,12:00-12:30,SN-RUN
1W,SELASA,12:30-1:00,SEJ-FID
1W,SELASA,1:00-1:30,SEJ-FID
1W,SELASA,1:30-2:00,KKQ-KHO
1W,SELASA,2:00-2:30,KKQ-KHO
1W,RABU,7:40-8:10,KKQ-KHO
1W,RABU,8:10-8:40,KKQ-KHO
1W,RABU,8:40-9:10,PJ-WAN
1W,RABU,9:10-9:40,PJ-WAN
1W,RABU,9:40-10:10,PIB-ZIL
1W,RABU,10:30-11:00,BI-AZU
1W,RABU,11:00-11:30,BI-AZU
1W,RABU,11:30-12:00,BM-ZIE
1W,RABU,12:00-12:30,BM-ZIE
1W,RABU,12:30-1:00,MAT-KIL
1W,RABU,1:00-1:30,MAT-KIL
1W,KHAMIS,7:40-8:10,MAT-KIL
1W,KHAMIS,8:10-8:40,MAT-KIL
1W,KHAMIS,8:40-9:10,PIB-ZIL
1W,KHAMIS,9:10-9:40,PIB-ZIL
1W,KHAMIS,9:40-10:10,KKQ-KHO
1W,KHAMIS,10:30-11:00,RBT-VIY
1W,KHAMIS,11:00-11:30,RBT-VIY
1W,KHAMIS,11:30-12:00,SN-RUN
1W,KHAMIS,12:00-12:30,SN-RUN
1W,KHAMIS,12:30-1:00,BM-ZIE
1W,KHAMIS,1:00-1:30,BM-ZIE
1W,KHAMIS,1:30-2:00,PJ-WAN
1W,KHAMIS,2:00-2:30,PJ-WAN
1W,JUMAAT,7:45-8:15,BA-FAL
1W,JUMAAT,8:15-8:45,BA-FAL
1W,JUMAAT,8:45-9:15,BA-FAL
1W,JUMAAT,9:15-9:45,MAT-KIL
1W,JUMAAT,10:05-10:35,MAT-KIL
1W,JUMAAT,10:35-11:05,PIB-ZIL
1W,JUMAAT,11:05-11:35,BI-AZU
1W,JUMAAT,11:35-12:05,BI-AZU
2B,ISNIN,7:40-8:10,PP-SGS
2B,ISNIN,8:10-8:40,SN-QIH
2B,ISNIN,8:40-9:10,SN-QIH
2B,ISNIN,9:10-9:40,BM-ROH
2B,ISNIN,9:40-10:10,BM-ROH
2B,ISNIN,10:30-11:00,BI-NOR
2B,ISNIN,11:00-11:30,BI-NOR
2B,ISNIN,11:30-12:00,BI-NOR
2B,ISNIN,12:00-12:30,MAT-FAZ
2B,ISNIN,12:30-1:00,MAT-FAZ
2B,ISNIN,1:00-1:30,PAM-FAL
2B,SELASA,7:40-8:10,SN-QIH
2B,SELASA,8:10-8:40,SN-QIH
2B,SELASA,8:40-9:10,BM-ROH
2B,SELASA,9:10-9:40,BM-ROH
2B,SELASA,9:40-10:10,BM-ROH
2B,SELASA,10:30-11:00,BI-NOR
2B,SELASA,11:00-11:30,BI-NOR
2B,SELASA,11:30-12:00,BI-NOR
2B,SELASA,12:00-12:30,PJ-RAN
2B,SELASA,12:30-1:00,PJ-RAN
2B,SELASA,1:00-1:30,PIB-FAL
2B,RABU,7:40-8:10,MAT-FAZ
2B,RABU,8:10-8:40,MAT-FAZ
2B,RABU,8:40-9:10,PIB-FAL
2B,RABU,9:10-9:40,BM-ROH
2B,RABU,9:40-10:10,BM-ROH
2B,RABU,10:30-11:00,GEO-RIE
2B,RABU,11:00-11:30,GEO-RIE
2B,RABU,11:30-12:00,GEO-RIE
2B,RABU,12:00-12:30,RBT-WAN
2B,RABU,12:30-1:00,RBT-WAN
2B,Khamis,7:40-8:10,PJ-RAN
2B,Khamis,8:10-8:40,PJ-RAN
2B,Khamis,8:40-9:10,PIB-FAL
2B,Khamis,9:10-9:40,PIB-FAL
2B,Khamis,9:40-10:10,MAT-FAZ
2B,Khamis,10:30-11:00,MAT-FAZ
2B,Khamis,11:00-11:30,RBT-WAN
2B,Khamis,11:30-12:00,RBT-WAN
2B,Khamis,12:00-12:30,PSB-AZI
2B,Khamis,12:30-1:00,PSB-AZI
2B,JUMAAT,7:45-8:15,SEJ-AIN
2B,JUMAAT,8:15-8:45,SEJ-AIN
2B,JUMAAT,8:45-9:15,SN-QIH
2B,JUMAAT,9:15-9:45,SN-QIH
2B,JUMAAT,10:05-10:35,SEJ-AIN
2B,JUMAAT,10:35-11:05,SEJ-AIN
2B,JUMAAT,11:05-11:35,PIB-FAL
2B,JUMAAT,11:35-12:05,PIB-FAL
2D,ISNIN,7:40-8:10,PP-SGS
2D,ISNIN,8:10-8:40,SEJ-AIN
2D,ISNIN,8:40-9:10,SEJ-AIN
2D,ISNIN,9:10-9:40,SN-QIH
2D,ISNIN,9:40-10:10,SN-QIH
2D,ISNIN,10:30-11:00,RBT_RIE
2D,ISNIN,11:00-11:30,RBT_RIE
2D,ISNIN,11:30-12:00,MAT-PAH
2D,ISNIN,12:00-12:30,MAT-PAH
2D,ISNIN,12:30-1:00,MAT-PAH
2D,ISNIN,1:00-1:30,PAM-GAT
2D,SELASA,7:40-8:10,SEJ-AIN
2D,SELASA,8:10-8:40,BI-NOR
2D,SELASA,8:40-9:10,BI-NOR
2D,SELASA,9:10-9:40,PJ-RAN
2D,SELASA,9:40-10:10,PJ-RAN
2D,SELASA,10:30-11:00,SN-QIH
2D,SELASA,11:00-11:30,SN-QIH
2D,SELASA,11:30-12:00,PIB-GAT
2D,SELASA,12:00-12:30,PIB-GAT
2D,SELASA,12:30-1:00,RBT_RIE
2D,SELASA,1:00-1:30,RBT_RIE
2D,RABU,7:40-8:10,PJ-RAN
2D,RABU,8:10-8:40,PJ-RAN
2D,RABU,8:40-9:10,MAT-PAH
2D,RABU,9:10-9:40,MAT-PAH
2D,RABU,9:40-10:10,MAT-PAH
2D,RABU,10:30-11:00,BI-NOR
2D,RABU,11:00-11:30,BI-NOR
2D,RABU,11:30-12:00,GEO-COO
2D,RABU,12:00-12:30,BM-HES
2D,RABU,12:30-1:00,BM-HES
2D,KHAMIS,7:40-8:10,SN-QIH
2D,KHAMIS,8:10-8:40,SN-QIH
2D,KHAMIS,8:40-9:10,SEJ-AIN
2D,KHAMIS,9:10-9:40,BM-HES
2D,KHAMIS,9:40-10:10,BM-HES
2D,KHAMIS,10:30-11:00,BM-HES
2D,KHAMIS,11:00-11:30,PSB-AZI
2D,KHAMIS,11:30-12:00,PSB-AZI
2D,KHAMIS,12:00-12:30,PIB-GAT
2D,KHAMIS,12:30-1:00,PIB-GAT
2D,JUMAAT,7:45-8:15,PIB-GAT
2D,JUMAAT,8:15-8:45,PIB-GAT
2D,JUMAAT,8:45-9:15,BI-NOR
2D,JUMAAT,9:15-9:45,BI-NOR
2D,JUMAAT,10:05-10:35,GEO-COO
2D,JUMAAT,10:35-11:05,GEO-COO
2D,JUMAAT,11:05-11:35,BM-HES
2D,JUMAAT,11:35-12:05,BM-HES
2S,ISNIN,7:40-8:10,PP-SGS
2S,ISNIN,8:10-8:40,PIB-GAT
2S,ISNIN,8:40-9:10,SN-RUN
2S,ISNIN,9:10-9:40,SN-RUN
2S,ISNIN,9:40-10:10,SN-RUN
2S,ISNIN,10:30-11:00,BM-JWA
2S,ISNIN,11:00-11:30,BM-JWA
2S,ISNIN,11:30-12:00,SEJ-ZIE
2S,ISNIN,12:00-12:30,SEJ-ZIE
2S,ISNIN,12:30-1:00,GEO-COO
2S,ISNIN,1:00-1:30,PAM-GAT
2S,SELASA,7:40-8:10,PIB-GAT
2S,SELASA,8:10-8:40,PIB-GAT
2S,SELASA,8:40-9:10,PIB-GAT
2S,SELASA,9:10-9:40,GEO-COO
2S,SELASA,9:40-10:10,GEO-COO
2S,SELASA,10:30-11:00,MZB-HES
2S,SELASA,11:00-11:30,MZB-HES
2S,SELASA,11:30-12:00,RBT-RIE
2S,SELASA,12:00-12:30,RBT-RIE
2S,SELASA,12:30-1:00,MAT-PAH
2S,SELASA,1:00-1:30,MAT-PAH
2S,RABU,7:40-8:10,PIB-GAT
2S,RABU,8:10-8:40,BI-NOR
2S,RABU,8:40-9:10,BI-NOR
2S,RABU,9:10-9:40,PJ-RAN
2S,RABU,9:40-10:10,PJ-RAN
2S,RABU,10:30-11:00,MAT-PAH
2S,RABU,11:00-11:30,MAT-PAH
2S,RABU,11:30-12:00,BM-JWA
2S,RABU,12:00-12:30,BM-JWA
2S,RABU,12:30-1:00,BM-JWA
2S,KHAMIS,7:40-8:10,SN-RUN
2S,KHAMIS,8:10-8:40,SN-RUN
2S,KHAMIS,8:40-9:10,SN-RUN
2S,KHAMIS,9:10-9:40,BI-NOR
2S,KHAMIS,9:40-10:10,BI-NOR
2S,KHAMIS,10:30-11:00,PIB-GAT
2S,KHAMIS,11:00-11:30,SEJ-ZIE
2S,KHAMIS,11:30-12:00,SEJ-ZIE
2S,KHAMIS,12:00-12:30,BM-JWA
2S,KHAMIS,12:30-1:00,BM-JWA
2S,KHAMIS,1:00-1:30,BM-JWA
2S,KHAMIS,1:30-2:00,PJ-WAN
2S,KHAMIS,2:00-2:30,PJ-WAN
2S,JUMAAT,7:45-8:15,RBT-RIE
2S,JUMAAT,8:15-8:45,RBT-RIE
2S,JUMAAT,8:45-9:15,MAT-PAH
2S,JUMAAT,9:15-9:45,MAT-PAH
2S,JUMAAT,10:05-10:35,BI-NOR
2S,JUMAAT,10:35-11:05,BI-NOR
2S,JUMAAT,11:05-11:35,PJ-RAN
2S,JUMAAT,11:35-12:05,PJ-RAN
2E,ISNIN,7:40-8:10,PP-SGS
2E,ISNIN,8:10-8:40,MAT-AIL
2E,ISNIN,8:40-9:10,MAT-AIL
2E,ISNIN,9:10-9:40,MAT-AIL
2E,ISNIN,9:40-10:10,PIB-GAT
2E,ISNIN,10:30-11:00,PIB-GAT
2E,ISNIN,11:00-11:30,BI-SOF
2E,ISNIN,11:30-12:00,BI-SOF
2E,ISNIN,12:00-12:30,PSB-AZI
2E,ISNIN,12:30-1:00,PSB-AZI
2E,ISNIN,1:00-1:30,PAM-GAT
2E,SELASA,7:40-8:10,SN-RUN
2E,SELASA,8:10-8:40,SN-RUN
2E,SELASA,8:40-9:10,RBT-RIE
2E,SELASA,9:10-9:40,RBT-RIE
2E,SELASA,9:40-10:10,SEJ-ZIE
2E,SELASA,10:30-11:00,PJ-KIL
2E,SELASA,11:00-11:30,PJ-KIL
2E,SELASA,11:30-12:00,GEO-COO
2E,SELASA,12:00-12:30,GEO-COO
2E,SELASA,12:30-1:00,BM-TIN
2E,SELASA,1:00-1:30,BM-TIN
2E,RABU,7:40-8:10,BM-TIN
2E,RABU,8:10-8:40,BM-TIN
2E,RABU,8:40-9:10,BM-TIN
2E,RABU,9:10-9:40,PIB-GAT
2E,RABU,9:40-10:10,PIB-GAT
2E,RABU,10:30-11:00,SN-RUN
2E,RABU,11:00-11:30,SN-RUN
2E,RABU,11:30-12:00,BI-SOF
2E,RABU,12:00-12:30,BI-SOF
2E,RABU,12:30-1:00,GEO-COO
2E,KHAMIS,7:40-8:10,RBT-RIE
2E,KHAMIS,8:10-8:40,RBT-RIE
2E,KHAMIS,8:40-9:10,MAT-AIL
2E,KHAMIS,9:10-9:40,MAT-AIL
2E,KHAMIS,9:40-10:10,SEJ-ZIE
2E,KHAMIS,10:30-11:00,BM-TIN
2E,KHAMIS,11:00-11:30,BM-TIN
2E,KHAMIS,11:30-12:00,MAT-AIL
2E,KHAMIS,12:00-12:30,BI-SOF
2E,KHAMIS,12:30-1:00,BI-SOF
2E,JUMAAT,7:45-8:15,PJ-RAN
2E,JUMAAT,8:15-8:45,PJ-RAN
2E,JUMAAT,8:45-9:15,SN-RUN
2E,JUMAAT,9:15-9:45,SN-RUN
2E,JUMAAT,10:05-10:35,PIB-GAT
2E,JUMAAT,10:35-11:05,PIB-GAT
2E,JUMAAT,11:05-11:35,SEJ-ZIE
2E,JUMAAT,11:35-12:05,SEJ-ZIE
2W,ISNIN,7:40-8:10,PP-SGS
2W,ISNIN,8:10-8:40,GEO-RIE
2W,ISNIN,8:40-9:10,GEO-RIE
2W,ISNIN,9:10-9:40,BM-JWA
2W,ISNIN,9:40-10:10,BM-JWA
2W,ISNIN,10:30-11:00,MAT-FAZ
2W,ISNIN,11:00-11:30,MAT-FAZ
2W,ISNIN,11:30-12:00,SEJ-AIN
2W,ISNIN,12:00-12:30,SEJ-AIN
2W,ISNIN,12:30-1:00,SEJ-AIN
2W,ISNIN,1:00-1:30,PAM-FAL
2W,ISNIN,1:30-2:00,RBT-WAN
2W,ISNIN,2:00-2:30,RBT-WAN
2W,SELASA,7:40-8:10,PJ-RAN
2W,SELASA,8:10-8:40,PJ-RAN
2W,SELASA,8:40-9:10,BM-JWA
2W,SELASA,9:10-9:40,BI-ITA
2W,SELASA,9:40-10:10,BI-ITA
2W,SELASA,10:30-11:00,MAT-FAZ
2W,SELASA,11:00-11:30,MAT-FAZ
2W,SELASA,11:30-12:00,BA-FAL
2W,SELASA,12:00-12:30,BA-FAL
2W,SELASA,12:30-1:00,RBT-WAN
2W,SELASA,1:00-1:30,RBT-WAN
2W,SELASA,1:30-2:00,PIB-FAL
2W,SELASA,2:00-2:30,PIB-FAL
2W,RABU,7:40-8:10,KKQ-KHO
2W,RABU,8:10-8:40,KKQ-KHO
2W,RABU,8:40-9:10,SN-RUN
2W,RABU,9:10-9:40,SN-RUN
2W,RABU,9:40-10:10,SEJ-AIN
2W,RABU,10:30-11:00,BA-FAL
2W,RABU,11:00-11:30,BA-FAL
2W,RABU,11:30-12:00,KKQ-KHO
2W,RABU,12:00-12:30,KKQ-KHO
2W,RABU,12:30-1:00,BA-FAL
2W,RABU,1:00-1:30,PIB-FAL
2W,KHAMIS,7:40-8:10,PIB-FAL
2W,KHAMIS,8:10-8:40,BI-ITA
2W,KHAMIS,8:40-9:10,BI-ITA
2W,KHAMIS,9:10-9:40,PJ-RAN
2W,KHAMIS,9:40-10:10,PJ-RAN
2W,KHAMIS,10:30-11:00,GEO-RIE
2W,KHAMIS,11:00-11:30,BM-JWA
2W,KHAMIS,11:30-12:00,BM-JWA
2W,KHAMIS,12:00-12:30,PIB-FAL
2W,KHAMIS,12:30-1:00,PIB-FAL
2W,KHAMIS,1:00-1:30,KKQ-KHO
2W,KHAMIS,1:30-2:00,SN-RUN
2W,KHAMIS,2:00-2:30,SN-RUN
2W,JUMAAT,7:45-8:15,MAT-FAZ
2W,JUMAAT,8:15-8:45,MAT-FAZ
2W,JUMAAT,8:45-9:15,BM-JWA
2W,JUMAAT,9:15-9:45,BM-JWA
2W,JUMAAT,10:05-10:35,BI-ITA
2W,JUMAAT,10:35-11:05,BI-ITA
2W,JUMAAT,11:05-11:35,SN-RUN
2W,JUMAAT,11:35-12:05,SN-RUN  
3B,ISNIN,7:40-8:10,PP-SGS
3B,ISNIN,8:10-8:40,BM-AIS
3B,ISNIN,8:40-9:10,BM-AIS
3B,ISNIN,9:10-9:40,MAT-ZAB
3B,ISNIN,9:40-10:10,MAT-ZAB
3B,ISNIN,10:30-11:00,SN-FAR
3B,ISNIN,11:00-11:30,SN-FAR
3B,ISNIN,11:30-12:00,BM-AIS
3B,ISNIN,12:00-12:30,BM-AIS
3B,ISNIN,12:30-1:00,PJ-ZAH
3B,ISNIN,1:00-1:30,PJ-ZAH
3B,SELASA,7:40-8:10,MAT-ZAB
3B,SELASA,8:10-8:40,MAT-ZAB
3B,SELASA,8:40-9:10,GEO-DIN
3B,SELASA,9:10-9:40,SEJ-ALA
3B,SELASA,9:40-10:10,SEJ-ALA
3B,SELASA,10:30-11:00,SN-FAR
3B,SELASA,11:00-11:30,SN-FAR
3B,SELASA,11:30-12:00,PIB-KHO
3B,SELASA,12:00-12:30,PIB-KHO
3B,SELASA,12:30-1:00,BI-VIV
3B,SELASA,1:00-1:30,PAM-KHO
3B,RABU,7:40-8:10,RBT-VIY
3B,RABU,8:10-8:40,RBT-VIY
3B,RABU,8:40-9:10,RBT-VIY
3B,RABU,9:10-9:40,GEO-DIN
3B,RABU,9:40-10:10,GEO-DIN
3B,RABU,10:30-11:00,BI-VIV
3B,RABU,11:00-11:30,BI-VIV
3B,RABU,11:30-12:00,BI-VIV
3B,RABU,12:00-12:30,MAT-ZAB
3B,RABU,12:30-1:00,MAT-ZAB
3B,KHAMIS,7:40-8:10,PIB-KHO
3B,KHAMIS,8:10-8:40,PIB-KHO
3B,KHAMIS,8:40-9:10,BM-AIS
3B,KHAMIS,9:10-9:40,BM-AIS
3B,KHAMIS,9:40-10:10,SEJ-ALA
3B,KHAMIS,10:30-11:00,PJ-ZAH
3B,KHAMIS,11:00-11:30,PJ-ZAH
3B,KHAMIS,11:30-12:00,RBT-VIY
3B,KHAMIS,12:00-12:30,PSB-ITI
3B,KHAMIS,12:30-1:00,PSB-ITI
3B,JUMAAT,7:45-8:15,SEJ-ALA
3B,JUMAAT,8:15-8:45,SN-FAR
3B,JUMAAT,8:45-9:15,SN-FAR
3B,JUMAAT,9:15-9:45,BM-AIS
3B,JUMAAT,10:05-10:35,BI-VIV
3B,JUMAAT,10:35-11:05,BI-VIV
3B,JUMAAT,11:05-11:35,PIB-KHO
3B,JUMAAT,11:35-12:05,PIB-KHO
3D,ISNIN,7:40-8:10,PP-SGS
